url,state,name,Easier State
https://auburn.craigslist.org/,Alabama,auburn,
https://bham.craigslist.org/,Alabama,birmingham,
https://dothan.craigslist.org/,Alabama,dothan,
https://shoals.craigslist.org/,Alabama,florence / muscle shoals,
https://gadsden.craigslist.org/,Alabama,gadsden-anniston,
https://huntsville.craigslist.org/,Alabama,huntsville / decatur,
https://mobile.craigslist.org/,Alabama,mobile,
https://montgomery.craigslist.org/,Alabama,montgomery,
https://tuscaloosa.craigslist.org/,Alabama,tuscaloosa,
https://anchorage.craigslist.org/,Alaska,anchorage / mat-su,
https://fairbanks.craigslist.org/,Alaska,fairbanks,
https://kenai.craigslist.org/,Alaska,kenai peninsula,
https://juneau.craigslist.org/,Alaska,southeast alaska,
https://flagstaff.craigslist.org/,Arizona,flagstaff / sedona,
https://mohave.craigslist.org/,Arizona,mohave county,
https://phoenix.craigslist.org/,Arizona,phoenix,
https://prescott.craigslist.org/,Arizona,prescott,
https://showlow.craigslist.org/,Arizona,show low,
https://sierravista.craigslist.org/,Arizona,sierra vista,
https://tucson.craigslist.org/,Arizona,tucson,
https://yuma.craigslist.org/,Arizona,yuma,
https://fayar.craigslist.org/,Arkansas,fayetteville ,
https://fortsmith.craigslist.org/,Arkansas,fort smith,
https://jonesboro.craigslist.org/,Arkansas,jonesboro,
https://littlerock.craigslist.org/,Arkansas,little rock,
https://texarkana.craigslist.org/,Arkansas,texarkana,
https://bakersfield.craigslist.org/,California,bakersfield,
https://chico.craigslist.org/,California,chico,
https://fresno.craigslist.org/,California,fresno / madera,
https://goldcountry.craigslist.org/,California,gold country,
https://hanford.craigslist.org/,California,hanford-corcoran,
https://humboldt.craigslist.org/,California,humboldt county,
https://imperial.craigslist.org/,California,imperial county,
https://inlandempire.craigslist.org/,California,inland empire,
https://losangeles.craigslist.org/,California,los angeles,
https://mendocino.craigslist.org/,California,mendocino county,
https://merced.craigslist.org/,California,merced,
https://modesto.craigslist.org/,California,modesto,
https://monterey.craigslist.org/,California,monterey bay,
https://orangecounty.craigslist.org/,California,orange county,
https://palmsprings.craigslist.org/,California,palm springs,
https://redding.craigslist.org/,California,redding,
https://sacramento.craigslist.org/,California,sacramento,
https://sandiego.craigslist.org/,California,san diego,
https://sfbay.craigslist.org/,California,san francisco bay area,
https://slo.craigslist.org/,California,san luis obispo,
https://santabarbara.craigslist.org/,California,santa barbara,
https://santamaria.craigslist.org/,California,santa maria,
https://siskiyou.craigslist.org/,California,siskiyou county,
https://stockton.craigslist.org/,California,stockton,
https://susanville.craigslist.org/,California,susanville,
https://ventura.craigslist.org/,California,ventura county,
https://visalia.craigslist.org/,California,visalia-tulare,
https://yubasutter.craigslist.org/,California,yuba-sutter,
https://boulder.craigslist.org/,Colorado,boulder,
https://cosprings.craigslist.org/,Colorado,colorado springs,
https://denver.craigslist.org/,Colorado,denver,
https://eastco.craigslist.org/,Colorado,eastern CO,
https://fortcollins.craigslist.org/,Colorado,fort collins / north CO,
https://rockies.craigslist.org/,Colorado,high rockies,
https://pueblo.craigslist.org/,Colorado,pueblo,
https://westslope.craigslist.org/,Colorado,western slope,
https://newlondon.craigslist.org/,Connecticut,eastern CT,
https://hartford.craigslist.org/,Connecticut,hartford,
https://newhaven.craigslist.org/,Connecticut,new haven,
https://nwct.craigslist.org/,Connecticut,northwest CT,
https://delaware.craigslist.org/,Delaware,delaware,
https://washingtondc.craigslist.org/,DC,washington,
http://miami.craigslist.org/brw/,Florida,broward county,
https://daytona.craigslist.org/,Florida,daytona beach,
https://keys.craigslist.org/,Florida,florida keys,
https://fortlauderdale.craigslist.org/,Florida,fort lauderdale,
https://fortmyers.craigslist.org/,Florida,ft myers / SW florida,
https://gainesville.craigslist.org/,Florida,gainesville,
https://cfl.craigslist.org/,Florida,heartland florida,
https://jacksonville.craigslist.org/,Florida,jacksonville,
https://lakeland.craigslist.org/,Florida,lakeland,
http://miami.craigslist.org/mdc/,Florida,miami / dade,
https://lakecity.craigslist.org/,Florida,north central FL,
https://ocala.craigslist.org/,Florida,ocala,
https://okaloosa.craigslist.org/,Florida,okaloosa / walton,
https://orlando.craigslist.org/,Florida,orlando,
https://panamacity.craigslist.org/,Florida,panama city,
https://pensacola.craigslist.org/,Florida,pensacola,
https://sarasota.craigslist.org/,Florida,sarasota-bradenton,
https://miami.craigslist.org/,Florida,south florida,
https://spacecoast.craigslist.org/,Florida,space coast,
https://staugustine.craigslist.org/,Florida,st augustine,
https://tallahassee.craigslist.org/,Florida,tallahassee,
https://tampa.craigslist.org/,Florida,tampa bay area,
https://treasure.craigslist.org/,Florida,treasure coast,
http://miami.craigslist.org/pbc/,Florida,palm beach county,
https://albanyga.craigslist.org/,Georgia,albany ,
https://athensga.craigslist.org/,Georgia,athens,
https://atlanta.craigslist.org/,Georgia,atlanta,
https://augusta.craigslist.org/,Georgia,augusta,
https://brunswick.craigslist.org/,Georgia,brunswick,
https://columbusga.craigslist.org/,Georgia,columbus ,
https://macon.craigslist.org/,Georgia,macon / warner robins,
https://nwga.craigslist.org/,Georgia,northwest GA,
https://savannah.craigslist.org/,Georgia,savannah / hinesville,
https://statesboro.craigslist.org/,Georgia,statesboro,
https://valdosta.craigslist.org/,Georgia,valdosta,
https://honolulu.craigslist.org/,Hawaii,hawaii,
https://boise.craigslist.org/,Idaho,boise,
https://eastidaho.craigslist.org/,Idaho,east idaho,
https://lewiston.craigslist.org/,Idaho,lewiston / clarkston,
https://twinfalls.craigslist.org/,Idaho,twin falls,
https://bn.craigslist.org/,Illinois,bloomington-normal,
https://chambana.craigslist.org/,Illinois,champaign urbana,
https://chicago.craigslist.org/,Illinois,chicago,
https://decatur.craigslist.org/,Illinois,decatur,
https://lasalle.craigslist.org/,Illinois,la salle co,
https://mattoon.craigslist.org/,Illinois,mattoon-charleston,
https://peoria.craigslist.org/,Illinois,peoria,
https://rockford.craigslist.org/,Illinois,rockford,
https://carbondale.craigslist.org/,Illinois,southern illinois,
https://springfieldil.craigslist.org/,Illinois,springfield ,
https://quincy.craigslist.org/,Illinois,western IL,
https://bloomington.craigslist.org/,Indiana,bloomington,
https://evansville.craigslist.org/,Indiana,evansville,
https://fortwayne.craigslist.org/,Indiana,fort wayne,
https://indianapolis.craigslist.org/,Indiana,indianapolis,
https://kokomo.craigslist.org/,Indiana,kokomo,
https://tippecanoe.craigslist.org/,Indiana,lafayette / west lafayette,
https://muncie.craigslist.org/,Indiana,muncie / anderson,
https://richmondin.craigslist.org/,Indiana,richmond ,
https://southbend.craigslist.org/,Indiana,south bend / michiana,
https://terrehaute.craigslist.org/,Indiana,terre haute,
https://ames.craigslist.org/,Iowa,ames,
https://cedarrapids.craigslist.org/,Iowa,cedar rapids,
https://desmoines.craigslist.org/,Iowa,des moines,
https://dubuque.craigslist.org/,Iowa,dubuque,
https://fortdodge.craigslist.org/,Iowa,fort dodge,
https://iowacity.craigslist.org/,Iowa,iowa city,
https://masoncity.craigslist.org/,Iowa,mason city,
https://quadcities.craigslist.org/,Iowa,quad cities,
https://siouxcity.craigslist.org/,Iowa,sioux city,
https://ottumwa.craigslist.org/,Iowa,southeast IA,
https://waterloo.craigslist.org/,Iowa,waterloo / cedar falls,
https://lawrence.craigslist.org/,Kansas,lawrence,
https://ksu.craigslist.org/,Kansas,manhattan,
https://nwks.craigslist.org/,Kansas,northwest KS,
https://salina.craigslist.org/,Kansas,salina,
https://seks.craigslist.org/,Kansas,southeast KS,
https://swks.craigslist.org/,Kansas,southwest KS,
https://topeka.craigslist.org/,Kansas,topeka,
https://wichita.craigslist.org/,Kansas,wichita,
https://bgky.craigslist.org/,Kentucky,bowling green,
https://eastky.craigslist.org/,Kentucky,eastern kentucky,
https://lexington.craigslist.org/,Kentucky,lexington,
https://louisville.craigslist.org/,Kentucky,louisville,
https://owensboro.craigslist.org/,Kentucky,owensboro,
https://westky.craigslist.org/,Kentucky,western KY,
https://batonrouge.craigslist.org/,Louisiana,baton rouge,
https://cenla.craigslist.org/,Louisiana,central louisiana,
https://houma.craigslist.org/,Louisiana,houma,
https://lafayette.craigslist.org/,Louisiana,lafayette,
https://lakecharles.craigslist.org/,Louisiana,lake charles,
https://monroe.craigslist.org/,Louisiana,monroe,
https://neworleans.craigslist.org/,Louisiana,new orleans,
https://shreveport.craigslist.org/,Louisiana,shreveport,
https://maine.craigslist.org/,Maine,maine,
https://annapolis.craigslist.org/,Annapolis,annapolis,
https://baltimore.craigslist.org/,Annapolis,baltimore,
https://easternshore.craigslist.org/,Annapolis,eastern shore,
https://frederick.craigslist.org/,Annapolis,frederick,
https://smd.craigslist.org/,Annapolis,southern maryland,
https://westmd.craigslist.org/,Annapolis,western maryland,
https://boston.craigslist.org/,Massachusetts,boston,
https://capecod.craigslist.org/,Massachusetts,cape cod / islands,
https://southcoast.craigslist.org/,Massachusetts,south coast,
https://westernmass.craigslist.org/,Massachusetts,western massachusetts,
https://worcester.craigslist.org/,Massachusetts,worcester / central MA,
https://annarbor.craigslist.org/,Michigan,ann arbor,
https://battlecreek.craigslist.org/,Michigan,battle creek,
https://centralmich.craigslist.org/,Michigan,central michigan,
https://detroit.craigslist.org/,Michigan,detroit metro,
https://flint.craigslist.org/,Michigan,flint,
https://grandrapids.craigslist.org/,Michigan,grand rapids,
https://holland.craigslist.org/,Michigan,holland,
https://jxn.craigslist.org/,Michigan,jackson ,
